ISO,EnglishNames,FrenchNames
MKD,Macedonia (the former Yugoslav Republic of),Macédoine (l'ex‑République yougoslave de)
MLI,Mali,Mali (le)
MLT,Malta,Malte
MMR,Myanmar,Myanmar (le)
MNE,Montenegro,Monténégro (le)
MNG,Mongolia,Mongolie (la)
MNP,Northern Mariana Islands (the),Mariannes du Nord (les Îles)
MOZ,Mozambique,Mozambique (le)
MRT,Mauritania,Mauritanie (la)
MSR,Montserrat,Montserrat
MTQ,Martinique,Martinique (la)
MUS,Mauritius,Maurice
MWI,Malawi,Malawi (le)
MYS,Malaysia,Malaisie (la)
MYT,Mayotte,Mayotte
NAM,Namibia,Namibie (la)
NCL,New Caledonia,Nouvelle-Calédonie (la)
NER,Niger (the),Niger (le)
NFK,Norfolk Island,Norfolk (l'Île)
NGA,Nigeria,Nigéria (le)
NIC,Nicaragua,Nicaragua (le)
NIU,Niue,Niue
NLD,Netherlands (the),Pays-Bas (les)
NOR,Norway,Norvège (la)
NPL,Nepal,Népal (le)
NRU,Nauru,Nauru
NZL,New Zealand,Nouvelle-Zélande (la)
OMN,Oman,Oman
PAK,Pakistan,Pakistan (le)
PAN,Panama,Panama (le)
PCN,Pitcairn,Pitcairn
PER,Peru,Pérou (le)
PHL,Philippines (the),Philippines (les)
PLW,Palau,Palaos (les)
PNG,Papua New Guinea,Papouasie-Nouvelle-Guinée (la)
POL,Poland,Pologne (la)
PRI,Puerto Rico,Porto Rico
PRK,Korea (the Democratic People's Republic of),Corée (la République populaire démocratique de)
PRT,Portugal,Portugal (le)
PRY,Paraguay,Paraguay (le)
PSE,"Palestine, State of","Palestine, État de"
PYF,French Polynesia,Polynésie française (la)
QAT,Qatar,Qatar (le)
REU,Réunion,Réunion (La)
ROU,Romania,Roumanie (la)
RUS,Russian Federation (the),Russie (la Fédération de)
RWA,Rwanda,Rwanda (le)
SAU,Saudi Arabia,Arabie saoudite (l')
SDN,Sudan (the),Soudan (le)
SEN,Senegal,Sénégal (le)
SGP,Singapore,Singapour
SGS,South Georgia and the South Sandwich Islands,Géorgie du Sud-et-les Îles Sandwich du Sud (la)
SHN,"Saint Helena, Ascension and Tristan da Cunha","Sainte-Hélène, Ascension et Tristan da Cunha"
SJM,Svalbard and Jan Mayen,Svalbard et l'Île Jan Mayen (le)
SLB,Solomon Islands,Salomon (Îles)
SLE,Sierra Leone,Sierra Leone (la)
SLV,El Salvador,El Salvador
SMR,San Marino,Saint-Marin
SOM,Somalia,Somalie (la)
SPM,Saint Pierre and Miquelon,Saint-Pierre-et-Miquelon
SRB,Serbia,Serbie (la)
SSD,South Sudan,Soudan du Sud (le)
STP,Sao Tome and Principe,Sao Tomé-et-Principe
SUR,Suriname,Suriname (le)
SVK,Slovakia,Slovaquie (la)
SVN,Slovenia,Slovénie (la)
SWE,Sweden,Suède (la)
SWZ,Swaziland,Swaziland (le)
SXM,Sint Maarten (Dutch part),Saint-Martin (partie néerlandaise)
SYC,Seychelles,Seychelles (les)
SYR,Syrian Arab Republic,République arabe syrienne (la)
TCA,Turks and Caicos Islands (the),Turks-et-Caïcos (les Îles)
TCD,Chad,Tchad (le)
TGO,Togo,Togo (le)
THA,Thailand,Thaïlande (la)
TJK,Tajikistan,Tadjikistan (le)
TKL,Tokelau,Tokelau (les)
TKM,Turkmenistan,Turkménistan (le)
TLS,Timor-Leste,Timor-Leste (le)
TON,Tonga,Tonga (les)
TTO,Trinidad and Tobago,Trinité-et-Tobago (la)
TUN,Tunisia,Tunisie (la)
TUR,Turkey,Turquie (la)
TUV,Tuvalu,Tuvalu (les)
TWN,Taiwan (Province of China),Taïwan (Province de Chine)
TZA,"Tanzania, United Republic of","Tanzanie, République-Unie de"
UGA,Uganda,Ouganda (l')
UKR,Ukraine,Ukraine (l')
UMI,United States Minor Outlying Islands (the),Îles mineures éloignées des États-Unis (les)
URY,Uruguay,Uruguay (l')
USA,United States of America (the),États-Unis d'Amérique (les)
UZB,Uzbekistan,Ouzbékistan (l')
VAT,Holy See (the),Saint-Siège (le)
VCT,Saint Vincent and the Grenadines,Saint-Vincent-et-les Grenadines
VEN,Venezuela (Bolivarian Republic of),Venezuela (République bolivarienne du)
VGB,Virgin Islands (British),Vierges britanniques (les Îles)
VIR,Virgin Islands (U.S.),Vierges des États-Unis (les Îles)
VNM,Viet Nam,Viet Nam (le)
VUT,Vanuatu,Vanuatu (le)
WLF,Wallis and Futuna,Wallis-et-Futuna
WSM,Samoa,Samoa (le)
YEM,Yemen,Yémen (le)
ZAF,South Africa,Afrique du Sud (l')
ZMB,Zambia,Zambie (la)
ZWE,Zimbabwe,Zimbabwe (le)
ARE,United Arab Emirates,Émirats arabes unis (les)
BEL,Belgium-Lux,Belgique (la)
BHS,Bahamas,Bahamas (les)
BOL,Bolivia,Bolivie (État plurinational de)
BRN,Brunei,Brunéi Darussalam (le)
CAF,Central Afr Rep,République centrafricaine (la)
CIV,Cote D'Ivoire,Côte d'Ivoire (la)
COD,Congo Dem Rep,Congo (la République démocratique du)
COG,Congo Rep,Congo (le)
COM,Comoros,Comores (les)
DOM,Dominican Rp,dominicaine (la République)
GBR,UK,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord (le)
GMB,Gambia,Gambie (la)
GNQ,Eq Guinea,Guinée équatoriale (la)
IRN,Iran,Iran (République Islamique d')
KNA,St Kitts and the Nevis,Saint-Kitts-et-Nevis
LAO,Laos P Dem R,Corée (la République de)
KOR,Korea Rp,"Lao, République démocratique populaire"
NER,Niger,Niger (le)
NLD,Netherlands,Pays-Bas (les)
PHL,Philippines,Philippines (les)
PNG,Papua N Guinea,Papouasie-Nouvelle-Guinée (la)
RUS,Russian Federation,Russie (la Fédération de)
SDN,Sudan,Soudan (le)
SLB,Solomon Islds,Salomon (Îles)
SYR,Syrn Arab Rp,République arabe syrienne (la)
TTO,Trinidad Tbg,Trinité-et-Tobago (la)
TZA,Tanzania,"Tanzanie, République-Unie de"
USA,USA,États-Unis d'Amérique (les)
VEN,Venezuela,Venezuela (République bolivarienne du)
VNM,VietNam,Viet Nam (le)
ARE,Untd Arab Em,Émirats arabes unis (les)
HKG,"Hong Kong, China",
KOR,"Korea, Republic of",
USA,United States of America,
IOT,British Indian Ocean Territory,
VGB,British Virgin Islands,
CPV,Cape Verde,
CYM,Cayman Islands,
CAF,Central African Republic,
CCK,Cocos [Keeling] Islands,
COD,Congo [DRC],
COG,Congo [Republic],
COK,Cook Islands,
CZE,Czech Republic,
DOM,Dominican Republic,
FLK,Falkland Islands [Islas Malvinas],
FRO,Faroe Islands,
ATF,French Southern Territories,
PSE,Gaza Strip,
XKX,Kosovo,
LAO,Laos,
MAC,Macau,
MKD,Macedonia [FYROM],
MHL,Marshall Islands,
FSM,Micronesia,
MDA,Moldova,
MMR,Myanmar [Burma],
ANT,Netherlands Antilles,
PRK,North Korea,
MNP,Northern Mariana Islands,
PSE,Palestinian Territories,
PCN,Pitcairn Islands,
RUS,Russia,
SHN,Saint Helena,
STP,São Tomé and Príncipe,
KOR,South Korea,
SYR,Syria,
TWN,Taiwan,
TCA,Turks and Caicos Islands,
UMI,U.S. Minor Outlying Islands,
VIR,U.S. Virgin Islands,
GBR,United Kingdom,
USA,United States,
VAT,Vatican City,
BHS,"Bahamas,  The",
COD,"Congo, Dem. Rep.",
COG,"Congo, Rep.",
TLS,East Timor,
GMB,"Gambia,  The",
IRN,"Iran, Islamic Rep.",
LAO,Lao PDR,
MAC,"Macao,  China",
MKD,"Macedonia, FYR",
REU,Reunion,
SVK,Slovak Republic,
KNA,St. Kitts and Nevis,
LCA,St. Lucia,
VCT,St. Vincent / Grenadines,
VEN,"Venezuela, RB",
PSE,West Bank & Gaza,
YEM,"Yemen, Rep",
LBY,Libya ,
COG,Congo,
COD,"Congo, Democratic Republic of the",
TZA,United Republic of Tanzania,
PRK,"Korea, Democratic People's Republic of",
MAC,"Macao, China",
TWN,Taiwan Province of China,
LAO,Lao People's Democratic Republic,
IRN,"Iran, Islamic Republic of",
PSE,State of Palestine,
BOL,"Bolivia, Plurinational State of",
VEN,"Venezuela, Bolivarian Republic of",
SXM,Sint Maarten,
FSM,"Micronesia, Federated States of",
SRB,Serbia  ,
MKD,The former Yugoslav Republic of Macedonia,
MDA,"Moldova, Republic of",
EU27,European Union,
COG,Congo ,
NIU,Niue ,
MKD,Macedonia,
PSE,Palestinian Authority,
BES,Bonaire,
COD,"Congo, Democratic Republic of",
CUW,Curacao,
FLK,Falkland Islands,
ATF,French Southern Territory,
CIV,Ivory Coast,
KGZ,Kyrgyz Republic,
LAO,Lao People’s Democratic Republic,
NCL,New Caledonia and Dependencies,
BES,Saba,
SGS,South Georgia and South Sandwich Islands,
BLM,St Barthelemy,
KNA,St Christopher and Nevis,
BES,St Eustatius,
SHN,St Helena and Dependencies,
LCA,St Lucia,
SXM,St Maarten,
SPM,St Pierre and Miquelon,
VCT,St Vincent,
SUR,Surinam,
TCA,Turks and Caicos,
VGB,"Virgin Islands, British",
WLF,Wallis and Futuna Islands,
PRK,Democratic People's Republic of Korea,
ARE,UAE,
COD,Democratic Republic of the Congo,
SWZ,Eswatini,
GMB,Gambia (Republic of The),
GNB,Guinea Bissau,
KOR,Republic of Korea,
MDA,Republic of Moldova,
GBR,United Kingdom of Great Britain and Northern Ireland,
VEN,Bolivarian Republic of,
NLD,NETHERLANDS ANTILLES (incl. ARUBA->1986),
VCT,ST VINCENT AND THE GRENADINES,
VDR,NORTH  VIETNAM,
VGB,"VIRGIN ISLANDS, BRITISH (and MONTSERRAT->1994)",
VIR,VIRGIN ISLANDS (US),
VNM,VIETNAM (excl. NORTH -> 1976),
VUT,VANUATU (NEW HEBRIDES -> 1980),
WSM,SAMOA (ex WESTERN SAMOA),
"FSM,MHL","AMERICAN OCEANIA (incl. FM,MH ->1991)",
ESP,CANARY ISLANDS,
ESP,CEUTA (incl. MELILLA -> 1998),
XKX,KOSOVO (EU data from 01/06/05 ex CS),
ESP,MELILLA,
MNE,MONTENEGRO (EU data from 01/06/05 ex CS),
AUS,AUSTRALIAN OCEANIA,
PSE,WEST BANK and GAZA STRIP,
SRB,SERBIA (EU data from 01/06/05 ex CS),
NZL,NEW ZEALAND OCEANIA,
YEM,SOUTH YEMEN,
YEM,YEMEN  (excl. SOUTH -> 1990) (ex NORTH YEMEN AND SOUTH YEMEN),
SCG,"YUGOSLAVIA (incl. SI,HR,BA ->1991,Serbia+Montenegro 93-96, Feder Rep of Yug 97-99)",
ZAF,SOUTH AFRICA (incl. NA ->1989),
ZWE,ZIMBABWE (RHODESIA ->1980),
CHN,CHINA (PEOPLE'S REPUBLIC OF),
BEL,BELGIUM (and LUXBG -> 1998),
BFA,BURKINA FASO  (UPPER VOLTA -> 1985),
BEN,BENIN (DAHOMEY -> 1976),
BLM,SAINT BARTHELEMY,
BRN,BRUNEI DARUSSALAM (BRUNEI),
BLR,BELARUS (BELORUSSIA),
CCK,"COCOS (KEELING), ISLANDS",
COD,"CONGO, DEMOCRATIC REPUBLIC OF (ZAIRE ->1997)",
CHE,SWITZERLAND (incl. LI->1994),
SCG,SERBIA AND MONTENEGRO (EU data from 01/01/04 to 31/05/05)(2004-2005)CZECHOSLOVAKIA(1976-1992),
CZE,CZECH REPUBLIC (CS->1992),
DEU,GERMANY DEMOCRATIC REPUBLIC,
DEU,GERMANY (incl DD from 1991),
DJI,DJIBOUTI (AFARS ISSAS->1977),
ESH,"WESTERN SAHARA(2013-2500)CEUTA and MELLILA,SPANISH SAHARA(1976-1976)",
ETH,ETHIOPIA (incl. ERITREA ->1993),
IDN,"INDONESIA (ID+TP from 77,excl. TP -> 2001)",
ISR,ISRAEL (GAZA and JERICHO->1994),
KGZ,"KYRGYZ, REPUBLIC (ex KYRGYZSTAN->2005)",
KHM,CAMBODIA (ex KAMPUCHEA),
KIR,KIRIBATI (+PN->1980);(->1979:BR.O.),
COM,COMOROS (incl. MAYOTTE ->1976),
KNA,ST KITTS AND NEVIS,
PRK,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF ( NORTH KOREA)",
KOR,"KOREA, REPUBLIC OF (SOUTH KOREA)",
LAO,LAO PEOPLE'S DEMOCRATIC REPUBLIC (LAOS),
LKA,SRI LANKA (ex CEYLAN),
LBY,LIBYAN ARAB JAMAHIRIYA (LIBYA),
MKD,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,
MMR,MYANMAR (BURMA),
MRT,MAURITANIA (incl.Sp SAH.from 1977),
NOR,"NORWAY (incl.SJ excl.1995,1996)",
PAN,PANAMA (excl. CANAL ->1980),
PSE,OCCUPIED PALESTINIAN TERRITORY (WEST BANK -INCLUDING EAST JERUSALEM AND GAZA STRIP),
RUS,RUSSIAN FEDERATION (RUSSIA),
SJM,SVALBARD,
SUR,SURINAME (ex DUTCH GUIANA),
SYR,SYRIAN ARAB REPUBLIC (SYRIA),
SWZ,SWAZILAND (NGWANE),
TLS,EAST TIMOR (ex PORTUGESE TIMOR 1976),
UMI,UNITED STATES MINOR OUTLYING ISLANDS,
VAT,HOLY SEE (VATICAN CITY STATE ->2005),
VNM,Vietnam,
