"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2014","2014",992,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2015","2015",983,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2016","2016",839,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2017","2017",655,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2018","2018",624,,
"AUT","Austria","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2019","2019",661,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2010","2010",53418,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2011","2011",54851,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2012","2012",56363,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2013","2013",57623,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2014","2014",59070,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2015","2015",60138,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2016","2016",61899,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2017","2017",63615,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2018","2018",66561,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2019","2019",68724,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2010","2010",49038,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2011","2011",49818,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2012","2012",50655,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2013","2013",51439,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2014","2014",52338,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2015","2015",53249,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2016","2016",54529,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2017","2017",55814,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2018","2018",58499,,
"BEL","Belgium","DTRD","Domestically-trained doctors","TOT","Total","2019","2019",60191,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2010","2010",4380,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2011","2011",5033,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2012","2012",5708,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2013","2013",6184,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2014","2014",6732,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2015","2015",6889,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2016","2016",7370,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2017","2017",7801,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2018","2018",8062,,
"BEL","Belgium","FTDS","Foreign-trained doctors - Stock","TOT","Total","2019","2019",8533,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2010","2010",504,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2011","2011",665,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2012","2012",684,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2013","2013",481,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2014","2014",558,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2015","2015",566,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2016","2016",500,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2017","2017",598,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2018","2018",461,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2019","2019",553,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2010","2010",165559,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2011","2011",170062,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2012","2012",175117,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2013","2013",180592,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2014","2014",186278,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2015","2015",191805,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2016","2016",198030,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2017","2017",204256,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2018","2018",210506,,
"BEL","Belgium","TNBN","Total number of nurses","TOT","Total","2019","2019",214317,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2010","2010",163140,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2011","2011",167219,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2012","2012",171392,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2013","2013",175963,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2014","2014",180867,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2015","2015",185677,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2016","2016",191278,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2017","2017",197041,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2018","2018",202617,,
"BEL","Belgium","DTRN","Domestically-trained nurses","TOT","Total","2019","2019",205897,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2010","2010",2419,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2011","2011",2843,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2012","2012",3725,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2013","2013",4629,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2014","2014",5411,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2015","2015",6128,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2016","2016",6752,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2017","2017",7215,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2018","2018",7889,,
"BEL","Belgium","FTNS","Foreign-trained nurses - Stock","TOT","Total","2019","2019",8420,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2010","2010",361,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2011","2011",425,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2012","2012",886,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2013","2013",890,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2014","2014",783,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2015","2015",726,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2016","2016",590,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2017","2017",464,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2018","2018",622,,
"BEL","Belgium","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2019","2019",509,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2010","2010",80895,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2011","2011",84313,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2012","2012",87306,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2013","2013",90205,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2014","2014",92708,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2015","2015",95206,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2016","2016",97169,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2017","2017",99811,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2018","2018",102909,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2019","2019",104593,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2010","2010",62058,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2011","2011",64315,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2012","2012",66338,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2013","2013",68356,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2014","2014",70039,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2015","2015",71873,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2016","2016",73206,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2017","2017",74717,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2018","2018",76994,,
"CAN","Canada","DTRD","Domestically-trained doctors","TOT","Total","2019","2019",78069,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2010","2010",18766,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2011","2011",19915,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2012","2012",20789,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2013","2013",21579,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2014","2014",22334,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2015","2015",22940,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2016","2016",23619,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2017","2017",24649,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2018","2018",25309,,
"CAN","Canada","FTDS","Foreign-trained doctors - Stock","TOT","Total","2019","2019",25537,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2010","2010",71,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2011","2011",83,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2012","2012",179,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2013","2013",270,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2014","2014",335,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2015","2015",393,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2016","2016",344,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2017","2017",445,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2018","2018",606,,
"CAN","Canada","UUUD","Unknown place of training (doctors)","TOT","Total","2019","2019",987,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2010","2010",2437,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2011","2011",2532,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2012","2012",2754,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2013","2013",2947,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2014","2014",2898,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2015","2015",2848,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2016","2016",2996,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2017","2017",2862,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2018","2018",3288,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","TOT","Total","2019","2019",2701,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2010","2010",354910,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2011","2011",360572,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2012","2012",365422,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2013","2013",375768,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2014","2014",383849,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2015","2015",390359,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2016","2016",396177,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2017","2017",398845,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2018","2018",402920,,
"CAN","Canada","TNBN","Total number of nurses","TOT","Total","2019","2019",396085,,
"CAN","Canada","DTRN","Domestically-trained nurses","TOT","Total","2010","2010",327408,,
"CAN","Canada","DTRN","Domestically-trained nurses","TOT","Total","2011","2011",332696,,
"CAN","Canada","DTRN","Domestically-trained nurses","TOT","Total","2012","2012",337252,,
"CAN","Canada","DTRN","Domestically-trained nurses","TOT","Total","2013","2013",346388,,
"CAN","Canada","DTRN","Domestically-trained nurses","TOT","Total","2014","2014",353336,,
"CAN","Canada","DTRN","Domestically-trained nurses","TOT","Total","2015","2015",358485,,
"CAN","Canada","DTRN","Domestically-trained nurses","TOT","Total","2016","2016",362928,,
"CAN","Canada","DTRN","Domestically-trained nurses","TOT","Total","2017","2017",364623,,
"CAN","Canada","DTRN","Domestically-trained nurses","TOT","Total","2018","2018",366223,,
"CAN","Canada","DTRN","Domestically-trained nurses","TOT","Total","2019","2019",358011,,
"CAN","Canada","FTNS","Foreign-trained nurses - Stock","TOT","Total","2010","2010",25638,,
"CAN","Canada","FTNS","Foreign-trained nurses - Stock","TOT","Total","2011","2011",26005,,
"CAN","Canada","FTNS","Foreign-trained nurses - Stock","TOT","Total","2012","2012",25346,,
"CAN","Canada","FTNS","Foreign-trained nurses - Stock","TOT","Total","2013","2013",28348,,
"CAN","Canada","FTNS","Foreign-trained nurses - Stock","TOT","Total","2014","2014",29520,,
"CAN","Canada","FTNS","Foreign-trained nurses - Stock","TOT","Total","2015","2015",30184,,
"CAN","Canada","FTNS","Foreign-trained nurses - Stock","TOT","Total","2016","2016",31356,,
"CAN","Canada","FTNS","Foreign-trained nurses - Stock","TOT","Total","2017","2017",32346,,
"CAN","Canada","FTNS","Foreign-trained nurses - Stock","TOT","Total","2018","2018",33516,,
"CAN","Canada","FTNS","Foreign-trained nurses - Stock","TOT","Total","2019","2019",33370,,
"CAN","Canada","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2010","2010",2330,,
"CAN","Canada","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2011","2011",2007,,
"CAN","Canada","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2012","2012",1949,,
"CAN","Canada","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2013","2013",2637,,
"CAN","Canada","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2014","2014",2481,,
"CAN","Canada","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2015","2015",2424,,
"CAN","Canada","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2016","2016",2824,,
"CAN","Canada","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2017","2017",2417,,
"CAN","Canada","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2018","2018",2837,,
"CAN","Canada","IFTN","Foreign-trained nurses - Annual inflow","TOT","Total","2019","2019",3092,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2010","2010",42614,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2011","2011",42166,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2012","2012",41582,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2013","2013",42174,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2014","2014",41671,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2015","2015",41893,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2016","2016",42682,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2017","2017",43283,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2018","2018",43951,,
"CZE","Czech Republic","TNBD","Total number of doctors","TOT","Total","2019","2019",43994,,
"CZE","Czech Republic","DTRD","Domestically-trained doctors","TOT","Total","2010","2010",40740,,
"CZE","Czech Republic","DTRD","Domestically-trained doctors","TOT","Total","2011","2011",40182,,
"CZE","Czech Republic","DTRD","Domestically-trained doctors","TOT","Total","2012","2012",39466,,
"CZE","Czech Republic","DTRD","Domestically-trained doctors","TOT","Total","2013","2013",40207,,
"CZE","Czech Republic","DTRD","Domestically-trained doctors","TOT","Total","2014","2014",39635,,
"CZE","Czech Republic","DTRD","Domestically-trained doctors","TOT","Total","2015","2015",39337,,
"CZE","Czech Republic","DTRD","Domestically-trained doctors","TOT","Total","2016","2016",39883,,
"CZE","Czech Republic","DTRD","Domestically-trained doctors","TOT","Total","2017","2017",40225,,
"CZE","Czech Republic","DTRD","Domestically-trained doctors","TOT","Total","2018","2018",40719,,
"CZE","Czech Republic","DTRD","Domestically-trained doctors","TOT","Total","2019","2019",40749,,
"CZE","Czech Republic","FTDS","Foreign-trained doctors - Stock","TOT","Total","2010","2010",1874,,
"CZE","Czech Republic","FTDS","Foreign-trained doctors - Stock","TOT","Total","2011","2011",1984,,
"CZE","Czech Republic","FTDS","Foreign-trained doctors - Stock","TOT","Total","2012","2012",2116,,
"CZE","Czech Republic","FTDS","Foreign-trained doctors - Stock","TOT","Total","2013","2013",1967,,
